,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,ENT
0,5,2,1,1,1,1,1,4,1,1,1
1,1,3,1,1,1,1,1,7,1,1,1
2,3,3,1,1,1,1,1,8,1,1,1
3,4,3,1,1,1,1,1,5,1,1,1
4,5,3,1,1,1,1,1,6,1,1,1
5,2,3,1,1,1,1,1,3,1,1,1
6,3,3,1,1,1,1,1,3,1,1,1
7,4,3,1,1,1,1,1,5,1,1,1
8,5,2,1,1,1,1,1,4,1,1,1
9,1,2,1,1,1,1,1,5,1,1,1
10,2,2,1,1,1,2,2,2,1,1,1
11,3,3,1,1,1,1,1,2,1,1,1
12,5,2,1,1,1,1,1,8,1,1,1
13,1,3,1,1,1,1,1,5,1,1,1
14,2,3,1,1,1,1,1,4,1,1,1
15,3,3,1,1,1,1,1,5,1,1,1
16,4,3,1,1,1,1,1,4,1,1,1
17,5,3,1,1,1,1,1,4,1,1,1
18,1,3,1,1,1,1,1,4,1,1,1
19,2,3,1,1,1,1,1,2,1,1,1
20,3,3,1,1,1,1,1,1,1,1,1
21,5,3,1,1,1,1,1,4,1,1,1
22,1,3,1,1,1,1,1,3,1,1,1
23,2,3,1,1,1,1,1,3,1,1,1
24,3,3,1,1,1,1,1,3,1,1,1
25,4,3,1,1,1,1,1,8,1,1,1
26,5,3,1,1,1,1,1,5,1,1,1
27,1,3,1,1,1,1,1,5,1,1,1
28,2,3,1,1,1,1,2,2,1,1,1
29,3,3,1,1,1,1,2,6,1,1,1
30,4,3,1,1,1,1,1,4,1,1,1
31,5,3,1,1,1,1,1,5,1,1,1
32,1,3,1,1,1,1,1,3,1,1,1
33,2,3,1,1,1,1,1,2,1,1,1
34,3,3,1,1,1,1,2,7,1,1,1
35,4,3,1,1,1,1,1,4,1,1,1
36,5,3,1,1,1,1,1,3,1,1,1
37,1,3,1,1,1,1,1,1,1,1,1
38,2,3,1,1,1,1,1,3,1,1,1
39,3,3,1,1,1,1,1,2,1,1,1
40,4,3,1,1,1,1,1,2,1,1,1
41,5,3,1,1,1,1,1,6,1,1,1
42,1,3,1,1,1,1,1,4,1,1,1
43,2,3,1,1,1,1,1,3,1,1,1
44,3,3,1,1,1,1,2,1,1,1,1
45,4,3,1,1,1,1,1,4,1,1,1
46,5,3,1,1,1,1,1,4,1,1,1
47,1,3,1,1,1,1,2,3,1,1,1
48,2,3,1,1,1,1,1,3,1,1,1
49,3,2,1,1,1,1,1,4,1,1,1
50,4,3,1,1,1,1,1,4,1,1,1
51,5,3,1,1,1,1,1,2,1,1,1
52,1,3,1,1,1,1,1,5,1,1,1
53,2,3,1,1,1,1,1,4,1,1,1
54,4,3,1,1,1,1,1,3,1,1,1
55,1,3,1,1,1,1,1,2,1,1,1
56,3,3,1,1,1,1,1,3,1,1,1
57,4,3,1,1,1,1,2,2,1,1,1
58,5,3,1,1,1,1,1,3,1,1,1
59,1,3,1,1,1,1,1,1,1,1,1
60,2,3,1,1,1,1,1,3,1,1,1
61,3,3,1,1,1,1,1,4,1,1,1
62,4,3,1,1,1,1,1,5,1,1,1
63,5,3,1,1,1,1,2,1,1,1,1
64,1,3,1,1,1,1,2,4,1,1,1
65,2,3,1,1,1,1,1,5,1,1,1
66,3,3,1,1,1,2,1,3,1,1,1
67,4,3,1,1,1,1,1,5,1,1,1
68,1,3,1,1,1,1,1,7,2,2,1
69,2,2,1,1,1,1,2,9,1,1,1
70,3,3,1,1,1,2,1,6,1,1,1
71,4,3,1,1,1,1,1,7,1,1,1
72,5,2,1,1,1,1,1,5,1,1,1
73,1,3,1,1,1,1,1,2,1,1,1
74,2,3,1,1,1,1,1,2,1,1,1
75,3,3,1,1,1,1,1,2,1,1,1
76,4,3,1,1,1,1,2,1,1,1,1
77,2,3,1,1,1,1,1,4,1,1,1
78,4,3,1,1,1,1,1,6,1,1,1
79,1,2,1,1,1,1,1,3,1,1,1
80,2,3,1,1,1,1,1,5,1,1,1
81,3,3,1,1,1,1,1,5,1,1,1
82,5,3,1,1,1,1,1,4,1,1,1
83,1,3,1,1,1,1,1,4,1,1,1
84,2,3,1,1,1,1,1,4,1,1,1
85,3,2,1,1,1,1,1,4,1,1,1
86,4,2,1,1,1,1,1,4,1,1,1
87,5,3,1,1,1,1,1,6,1,1,1
88,2,3,1,1,1,1,1,4,1,1,1
89,3,3,1,1,1,1,1,5,1,1,1
90,4,2,1,1,1,1,1,7,1,1,1
91,5,3,1,1,1,1,1,2,1,1,1
92,1,3,1,1,1,1,1,3,1,1,1
93,2,2,1,1,1,1,1,6,1,1,1
94,3,3,1,1,1,1,1,5,1,1,1
95,5,3,1,1,1,1,1,5,1,1,1
96,1,2,1,1,1,1,2,5,1,1,1
97,2,2,1,1,1,1,1,2,1,1,1
98,4,3,1,1,1,1,1,2,1,1,1
99,5,3,1,1,1,1,1,2,1,1,1
100,1,3,1,1,1,1,1,4,1,1,1
101,2,3,1,1,1,1,1,5,1,1,1
102,4,3,1,1,1,1,1,1,1,1,1
103,5,3,1,1,1,1,1,6,1,1,1
104,4,3,1,1,1,1,1,1,1,1,1
105,5,3,1,1,1,1,1,4,1,1,1
106,2,3,1,1,1,1,1,3,1,1,1
107,3,3,1,1,1,1,1,4,1,1,1
108,4,3,1,1,1,1,1,4,1,1,1
109,5,3,1,1,1,1,1,5,1,1,1
